Site Lat Lon
1 37.7847039727249 -122.40160034090218
2 37.736459310190185 -122.49569617354912
3 37.76754879397736 -122.38715423529294
4 37.71188368073615 -122.46452428280892
5 37.76241789435142 -122.4787761919952
6 37.73986456465438 -122.45655260356375
7 37.72318847459791 -122.47611704989258
8 37.78372646810264 -122.47824739343048
9 37.72024142328236 -122.44703221364742
10 37.75028690752407 -122.4720689527947
11 37.789076700112794 -122.3874190679603
12 37.72456318757426 -122.50641169373556
13 37.766766258716004 -122.42732977187279
14 37.73159694034244 -122.4161334649417
15 37.75135503114861 -122.42823792335614
16 37.79078246943778 -122.40682004403979
17 37.73541226430985 -122.42271447422107
18 37.733416873234404 -122.4091889360465
19 37.77876114501183 -122.47999950776841
20 37.72791013658017 -122.36048002221438
21 37.80782623744214 -122.41351175148151
22 37.79149478865268 -122.48332285482846
23 37.75373383312775 -122.45802239865479
24 37.787643828521524 -122.50572389689509
25 37.77171843111134 -122.42577855874644
26 37.718124574011554 -122.48203961286123
27 37.79231909133146 -122.43225106848298
28 37.779809322492454 -122.41905359798282
29 37.73849040048742 -122.42444606474281
30 37.72835464528201 -122.49654967830553
31 37.79423232204532 -122.46501746315711
32 37.772038862242475 -122.48965829786007
33 37.785495304195805 -122.44291070775826
34 37.77782872727249 -122.48090133788794
35 37.73213817126304 -122.39391450477228
36 37.78493256416267 -122.44490199748073
37 37.73936469412823 -122.37663372333321
38 37.70912485369967 -122.39761351382238
39 37.79721593590602 -122.40017063523894
40 37.71381287808396 -122.45799419599321
41 37.757783507473924 -122.46177986115029
42 37.73595667680864 -122.37581800546863
43 37.80639270181595 -122.46813870123452
44 37.7277941925882 -122.49212911344866
45 37.77085078423024 -122.41409132243002
46 37.73174494669385 -122.37674776145029
47 37.73389797943536 -122.50327881872902
48 37.76856519662924 -122.49733228274741
49 37.78142869169677 -122.4374986773589
50 37.776418875461665 -122.4601408316058
51 37.72495863489417 -122.3980385469889
52 37.736052384839724 -122.47718156643315
53 37.79183499519003 -122.3911933064578
54 37.78595955480762 -122.48109313925512
55 37.78499809156279 -122.41443495694185
56 37.72555703105584 -122.41170114807753
57 37.73773970376461 -122.46067508455918
58 37.754356522552555 -122.50987682198839
59 37.754831530368264 -122.5094435547878
60 37.78547320607197 -122.46277089770713
61 37.80473734401561 -122.44374785935821
62 37.76853350862221 -122.49696522661341
63 37.77666287649571 -122.41768913659153
64 37.77392854721425 -122.48748778814736
65 37.73333287539722 -122.45651762549552
66 37.7630461517327 -122.43186194067577
67 37.76587351868819 -122.43848807126446
68 37.745366188573385 -122.43096908958806
69 37.798443400341476 -122.39621226605665
70 37.787546200166254 -122.38968452012523
71 37.74101897598239 -122.46519981407639
72 37.74108794773824 -122.4631478286284
73 37.713550293691746 -122.45543517843691
74 37.758688536933114 -122.50353068402117
75 37.73487958960918 -122.494279437861
76 37.75537221566787 -122.40300814442858
77 37.758229785671745 -122.50950081107182
78 37.806021448221465 -122.40698400217983
79 37.73341703157053 -122.38885517748196
80 37.73863744557755 -122.46672360197918
81 37.80578654637018 -122.45220927514703
82 37.78321192111485 -122.51076883471913
83 37.75646764029944 -122.49255470059252
84 37.77664123252421 -122.45614314712861
85 37.74128408310202 -122.41607581293046
86 37.772557665215416 -122.4645823189382
87 37.780103038612516 -122.49916987776818
88 37.768152221537584 -122.42993465957483
